,movieId,title
0,1,Toy Story (1995)
1,2,Jumanji (1995)
2,4,Waiting to Exhale (1995)
3,8,Tom and Huck (1995)
4,10,GoldenEye (1995)
5,11,"American President, The (1995)"
6,13,Balto (1995)
7,14,Nixon (1995)
8,15,Cutthroat Island (1995)
9,16,Casino (1995)
10,17,Sense and Sensibility (1995)
11,20,Money Train (1995)
12,22,Copycat (1995)
13,24,Powder (1995)
14,25,Leaving Las Vegas (1995)
15,26,Othello (1995)
16,27,Now and Then (1995)
17,28,Persuasion (1995)
18,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
19,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
20,31,Dangerous Minds (1995)
21,34,Babe (1995)
22,36,Dead Man Walking (1995)
23,40,"Cry, the Beloved Country (1995)"
24,41,Richard III (1995)
25,42,Dead Presidents (1995)
26,43,Restoration (1995)
27,44,Mortal Kombat (1995)
28,45,To Die For (1995)
29,46,How to Make an American Quilt (1995)
30,48,Pocahontas (1995)
31,49,When Night Is Falling (1995)
32,52,Mighty Aphrodite (1995)
33,53,Lamerica (1994)
34,55,Georgia (1995)
35,57,Home for the Holidays (1995)
36,58,"Postman, The (Postino, Il) (1994)"
37,60,"Indian in the Cupboard, The (1995)"
38,61,Eye for an Eye (1996)
39,62,Mr. Holland's Opus (1995)
40,72,Kicking and Screaming (1995)
41,73,"Misérables, Les (1995)"
42,74,Bed of Roses (1996)
43,75,Big Bully (1996)
44,78,"Crossing Guard, The (1995)"
45,79,"Juror, The (1996)"
46,80,"White Balloon, The (Badkonake sefid) (1995)"
47,81,Things to Do in Denver When You're Dead (1995)
48,82,Antonia's Line (Antonia) (1995)
49,83,Once Upon a Time... When We Were Colored (1995)
50,85,Angels and Insects (1995)
51,86,White Squall (1996)
52,92,Mary Reilly (1996)
53,94,Beautiful Girls (1996)
54,95,Broken Arrow (1996)
55,96,In the Bleak Midwinter (1995)
56,97,"Hate (Haine, La) (1995)"
57,100,City Hall (1996)
58,101,Bottle Rocket (1996)
59,105,"Bridges of Madison County, The (1995)"
60,106,Nobody Loves Me (Keiner liebt mich) (1994)
61,107,Muppet Treasure Island (1996)
62,110,Braveheart (1995)
63,111,Taxi Driver (1976)
64,112,Rumble in the Bronx (Hont faan kui) (1995)
65,113,Before and After (1996)
66,117,"Young Poisoner's Handbook, The (1995)"
67,121,"Boys of St. Vincent, The (1992)"
68,123,Chungking Express (Chung Hing sam lam) (1994)
69,126,"NeverEnding Story III, The (1994)"
70,140,Up Close and Personal (1996)
71,145,Bad Boys (1995)
72,146,"Amazing Panda Adventure, The (1995)"
73,147,"Basketball Diaries, The (1995)"
74,148,"Awfully Big Adventure, An (1995)"
75,149,Amateur (1994)
76,151,Rob Roy (1995)
77,152,"Addiction, The (1995)"
78,153,Batman Forever (1995)
79,154,Beauty of the Day (Belle de jour) (1967)
80,155,Beyond Rangoon (1995)
81,156,Blue in the Face (1995)
82,158,Casper (1995)
83,159,Clockers (1995)
84,160,Congo (1995)
85,161,Crimson Tide (1995)
86,166,"Doom Generation, The (1995)"
87,168,First Knight (1995)
88,169,Free Willy 2: The Adventure Home (1995)
89,170,Hackers (1995)
90,171,Jeffrey (1995)
91,175,Kids (1995)
92,178,Love & Human Remains (1993)
93,179,Mad Love (1995)
94,184,Nadja (1994)
95,191,"Scarlet Letter, The (1995)"
96,193,Showgirls (1995)
97,194,Smoke (1995)
98,195,Something to Talk About (1995)
99,198,Strange Days (1995)
100,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"
101,201,Three Wishes (1995)
102,202,Total Eclipse (1995)
103,205,Unstrung Heroes (1995)
104,207,"Walk in the Clouds, A (1995)"
105,208,Waterworld (1995)
106,209,White Man's Burden (1995)
107,211,"Browning Version, The (1994)"
108,212,Bushwhacked (1995)
109,213,Burnt by the Sun (Utomlyonnye solntsem) (1994)
110,214,Before the Rain (Pred dozhdot) (1994)
111,215,Before Sunrise (1995)
112,217,"Babysitter, The (1995)"
113,218,Boys on the Side (1995)
114,219,"Cure, The (1995)"
115,222,Circle of Friends (1995)
116,224,Don Juan DeMarco (1995)
117,225,Disclosure (1994)
118,229,Death and the Maiden (1994)
119,230,Dolores Claiborne (1995)
120,231,Dumb & Dumber (Dumb and Dumber) (1994)
121,232,Eat Drink Man Woman (Yin shi nan nu) (1994)
122,233,Exotica (1994)
123,235,Ed Wood (1994)
124,238,Far From Home: The Adventures of Yellow Dog (1995)
125,241,Fluke (1995)
126,242,Farinelli: il castrato (1994)
127,247,Heavenly Creatures (1994)
128,249,Immortal Beloved (1994)
129,253,Interview with the Vampire: The Vampire Chronicles (1994)
130,254,Jefferson in Paris (1995)
131,258,"Kid in King Arthur's Court, A (1995)"
132,259,Kiss of Death (1995)
133,260,Star Wars: Episode IV - A New Hope (1977)
134,261,Little Women (1994)
135,262,"Little Princess, A (1995)"
136,263,Ladybird Ladybird (1994)
137,265,Like Water for Chocolate (Como agua para chocolate) (1992)
138,266,Legends of the Fall (1994)
139,269,My Crazy Life (Mi vida loca) (1993)
140,270,Love Affair (1994)
141,271,Losing Isaiah (1995)
142,272,"Madness of King George, The (1994)"
143,273,Mary Shelley's Frankenstein (Frankenstein) (1994)
144,277,Miracle on 34th Street (1994)
145,279,My Family (1995)
146,280,Murder in the First (1995)
147,281,Nobody's Fool (1994)
148,282,Nell (1994)
149,283,New Jersey Drive (1995)
150,285,Beyond Bedlam (1993)
151,290,Once Were Warriors (1994)
152,291,Poison Ivy II (1996)
153,292,Outbreak (1995)
154,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
155,296,Pulp Fiction (1994)
156,298,Pushing Hands (Tui shou) (1992)
157,299,Priest (1994)
158,300,Quiz Show (1994)
159,301,Picture Bride (Bijo photo) (1994)
160,302,"Queen Margot (Reine Margot, La) (1994)"
161,304,Roommates (1995)
162,306,Three Colors: Red (Trois couleurs: Rouge) (1994)
163,307,Three Colors: Blue (Trois couleurs: Bleu) (1993)
164,308,Three Colors: White (Trzy kolory: Bialy) (1994)
165,314,"Secret of Roan Inish, The (1994)"
166,315,"Specialist, The (1994)"
167,316,Stargate (1994)
168,317,"Santa Clause, The (1994)"
169,318,"Shawshank Redemption, The (1994)"
170,319,Shallow Grave (1994)
171,321,Strawberry and Chocolate (Fresa y chocolate) (1993)
172,322,Swimming with Sharks (1995)
173,324,"Sum of Us, The (1994)"
174,326,To Live (Huozhe) (1994)
175,329,Star Trek: Generations (1994)
176,331,Tom & Viv (1994)
177,334,Vanya on 42nd Street (1994)
178,336,"Walking Dead, The (1995)"
179,337,What's Eating Gilbert Grape (1993)
180,340,"War, The (1994)"
181,341,Double Happiness (1994)
182,345,"Adventures of Priscilla, Queen of the Desert, The (1994)"
183,346,Backbeat (1993)
184,347,Bitter Moon (1992)
185,349,Clear and Present Danger (1994)
186,350,"Client, The (1994)"
187,351,"Corrina, Corrina (1994)"
188,352,Crooklyn (1994)
189,354,Cobb (1994)
190,356,Forrest Gump (1994)
191,358,Higher Learning (1995)
192,359,I Like It Like That (1994)
193,361,It Could Happen to You (1994)
194,362,"Jungle Book, The (1994)"
195,364,"Lion King, The (1994)"
196,365,Little Buddha (1993)
197,366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)"
198,368,Maverick (1994)
199,369,Mrs. Parker and the Vicious Circle (1994)
200,371,"Paper, The (1994)"
201,372,Reality Bites (1994)
202,380,True Lies (1994)
203,381,When a Man Loves a Woman (1994)
204,382,Wolf (1994)
205,384,Bad Company (1995)
206,385,"Man of No Importance, A (1994)"
207,386,S.F.W. (1994)
208,388,Boys Life (1995)
209,389,"Colonel Chabert, Le (1994)"
210,390,Faster Pussycat! Kill! Kill! (1965)
211,391,Jason's Lyric (1994)
