"movieId","title"
"1","Toy Story (1995)"
"2","Jumanji (1995)"
"4","Waiting to Exhale (1995)"
"8","Tom and Huck (1995)"
"10","GoldenEye (1995)"
"11","American President, The (1995)"
"13","Balto (1995)"
"14","Nixon (1995)"
"15","Cutthroat Island (1995)"
"16","Casino (1995)"
"17","Sense and Sensibility (1995)"
"20","Money Train (1995)"
"22","Copycat (1995)"
"24","Powder (1995)"
"25","Leaving Las Vegas (1995)"
"26","Othello (1995)"
"27","Now and Then (1995)"
"28","Persuasion (1995)"
"29","City of Lost Children, The (Cité des enfants perdus, La) (1995)"
"30","Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)"
"31","Dangerous Minds (1995)"
"34","Babe (1995)"
"36","Dead Man Walking (1995)"
"40","Cry, the Beloved Country (1995)"
"41","Richard III (1995)"
"42","Dead Presidents (1995)"
"43","Restoration (1995)"
"44","Mortal Kombat (1995)"
"45","To Die For (1995)"
"46","How to Make an American Quilt (1995)"
"48","Pocahontas (1995)"
"49","When Night Is Falling (1995)"
"52","Mighty Aphrodite (1995)"
"53","Lamerica (1994)"
"55","Georgia (1995)"
"57","Home for the Holidays (1995)"
"58","Postman, The (Postino, Il) (1994)"
"60","Indian in the Cupboard, The (1995)"
"61","Eye for an Eye (1996)"
"62","Mr. Holland's Opus (1995)"
"72","Kicking and Screaming (1995)"
"73","Misérables, Les (1995)"
"74","Bed of Roses (1996)"
"75","Big Bully (1996)"
"78","Crossing Guard, The (1995)"
"79","Juror, The (1996)"
"80","White Balloon, The (Badkonake sefid) (1995)"
"81","Things to Do in Denver When You're Dead (1995)"
"82","Antonia's Line (Antonia) (1995)"
"83","Once Upon a Time... When We Were Colored (1995)"
"85","Angels and Insects (1995)"
"86","White Squall (1996)"
"92","Mary Reilly (1996)"
"94","Beautiful Girls (1996)"
"95","Broken Arrow (1996)"
"96","In the Bleak Midwinter (1995)"
"97","Hate (Haine, La) (1995)"
"100","City Hall (1996)"
"101","Bottle Rocket (1996)"
"105","Bridges of Madison County, The (1995)"
"106","Nobody Loves Me (Keiner liebt mich) (1994)"
"107","Muppet Treasure Island (1996)"
"110","Braveheart (1995)"
"111","Taxi Driver (1976)"
"112","Rumble in the Bronx (Hont faan kui) (1995)"
"113","Before and After (1996)"
"117","Young Poisoner's Handbook, The (1995)"
"121","Boys of St. Vincent, The (1992)"
"123","Chungking Express (Chung Hing sam lam) (1994)"
"126","NeverEnding Story III, The (1994)"
"140","Up Close and Personal (1996)"
"145","Bad Boys (1995)"
"146","Amazing Panda Adventure, The (1995)"
"147","Basketball Diaries, The (1995)"
"148","Awfully Big Adventure, An (1995)"
"149","Amateur (1994)"
"151","Rob Roy (1995)"
"152","Addiction, The (1995)"
"153","Batman Forever (1995)"
"154","Beauty of the Day (Belle de jour) (1967)"
"155","Beyond Rangoon (1995)"
"156","Blue in the Face (1995)"
"158","Casper (1995)"
"159","Clockers (1995)"
"160","Congo (1995)"
"161","Crimson Tide (1995)"
"166","Doom Generation, The (1995)"
"168","First Knight (1995)"
"169","Free Willy 2: The Adventure Home (1995)"
"170","Hackers (1995)"
"171","Jeffrey (1995)"
"175","Kids (1995)"
"178","Love & Human Remains (1993)"
"179","Mad Love (1995)"
"184","Nadja (1994)"
"191","Scarlet Letter, The (1995)"
"193","Showgirls (1995)"
"194","Smoke (1995)"
"195","Something to Talk About (1995)"
"198","Strange Days (1995)"
"199","Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"
"201","Three Wishes (1995)"
"202","Total Eclipse (1995)"
"205","Unstrung Heroes (1995)"
"207","Walk in the Clouds, A (1995)"
"208","Waterworld (1995)"
"209","White Man's Burden (1995)"
"211","Browning Version, The (1994)"
"212","Bushwhacked (1995)"
"213","Burnt by the Sun (Utomlyonnye solntsem) (1994)"
"214","Before the Rain (Pred dozhdot) (1994)"
"215","Before Sunrise (1995)"
"217","Babysitter, The (1995)"
"218","Boys on the Side (1995)"
"219","Cure, The (1995)"
"222","Circle of Friends (1995)"
"224","Don Juan DeMarco (1995)"
"225","Disclosure (1994)"
"229","Death and the Maiden (1994)"
"230","Dolores Claiborne (1995)"
"231","Dumb & Dumber (Dumb and Dumber) (1994)"
"232","Eat Drink Man Woman (Yin shi nan nu) (1994)"
"233","Exotica (1994)"
"235","Ed Wood (1994)"
"238","Far From Home: The Adventures of Yellow Dog (1995)"
"241","Fluke (1995)"
"242","Farinelli: il castrato (1994)"
"247","Heavenly Creatures (1994)"
"249","Immortal Beloved (1994)"
"253","Interview with the Vampire: The Vampire Chronicles (1994)"
"254","Jefferson in Paris (1995)"
"258","Kid in King Arthur's Court, A (1995)"
"259","Kiss of Death (1995)"
"260","Star Wars: Episode IV - A New Hope (1977)"
"261","Little Women (1994)"
"262","Little Princess, A (1995)"
"263","Ladybird Ladybird (1994)"
